latlong
"(34.04622, -118.26719)"
"(34.0819, -118.42854)"
"(34.03774, -118.23282)"
"(34.09265, -118.32414)"
"(34.04994, -118.41129)"
"(34.07566, -118.38358)"
"(34.1074, -118.48784)"
"(33.97796, -118.40609)"
"(33.95688, -118.41657)"
"(34.03738, -118.23248)"
"(34.04695, -118.24984)"
"(34.02266, -118.28609)"
"(33.99094, -118.46664)"
"(34.02272, -118.28136)"
"(34.20097, -118.45456)"
"(34.02194, -118.28455)"
"(34.02167, -118.2799)"
"(34.15633, -118.63489)"
"(34.062, -118.34089)"
"(34.13001, -118.48193)"
"(34.04413, -118.25988)"
"(34.02285, -118.2906)"
"(34.11581, -118.41736)"
"(34.0913, -118.28384)"
"(34.01366, -118.28294)"
"(34.1299, -118.48421)"
"(34.06118, -118.20631)"
"(34.05328, -118.25074)"
"(34.3063, -118.46389)"
"(34.0723, -118.25063)"
"(34.05868, -118.41546)"
"(33.9903, -118.46415)"
"(34.02579, -118.33491)"
"(34.0421, -118.23734)"
"(34.15015, -118.37565)"
"(33.97656, -118.42113)"
"(34.09673, -118.31208)"
"(34.07598, -118.38394)"
"(34.10137, -118.33998)"
"(34.08336, -118.31616)"
"(34.07854, -118.4975)"
"(34.01198, -118.32794)"
"(34.09187, -118.43619)"
"(34.07125, -118.35662)"
"(33.96577, -118.42406)"
"(34.18482, -118.48315)"
"(34.10296, -118.32688)"
"(34.0978, -118.3521)"
"(34.0839, -118.3677)"
"(34.11116, -118.28727)"
"(34.06266, -118.36039)"
"(34.10158, -118.30948)"
"(34.02326, -118.23763)"
"(34.05785, -118.30001)"
"(33.74182, -118.27938)"
"(34.01128, -118.27345)"
"(34.06178, -118.48495)"
"(34.04443, -118.29612)"
"(34.0869, -118.32897)"
"(34.25039, -118.57998)"
"(34.03587, -118.458)"
"(34.09815, -118.33187)"
"(34.04779, -118.2571)"
"(34.31154, -118.42954)"
"(34.02795, -118.28184)"
"(34.20696, -118.3417)"
"(34.02017, -118.28558)"
"(34.08696, -118.47442)"
"(34.12917, -118.47917)"
"(34.06247, -118.47358)"
"(34.06664, -118.46903)"
"(34.13809, -118.41286)"
"(34.20242, -118.56243)"
"(33.99542, -118.4552)"
"(34.02862, -118.28277)"
"(34.09821, -118.35559)"
"(34.09814, -118.33519)"
"(34.08208, -118.26106)"
"(34.04842, -118.33486)"
"(34.0554, -118.39891)"
"(33.97798, -118.40737)"
"(34.05643, -118.23801)"
"(34.16224, -118.53056)"
"(34.06274, -118.27489)"
"(34.14956, -118.45567)"
"(34.0619, -118.3402)"
"(34.06345, -118.44687)"
"(34.05032, -118.24669)"
"(34.04789, -118.26153)"
"(34.0316, -118.23342)"
"(34.08955, -118.27597)"
"(34.07184, -118.47248)"
"(34.04193, -118.23409)"
"(34.30584, -118.47951)"
"(34.09817, -118.3244)"
"(34.04877, -118.26077)"
"(34.01118, -118.33649)"
"(34.03396, -118.24117)"
"(34.1029, -118.32971)"
"(34.09152, -118.33756)"
"(34.02835, -118.24714)"
"(34.05052, -118.21669)"
"(34.05405, -118.24317)"
"(34.10045, -118.34003)"
"(33.93195, -118.40539)"
"(34.06183, -118.44675)"
"(34.22394, -118.38757)"
"(34.10078, -118.29077)"
"(34.2465, -118.53496)"
"(34.06745, -118.32123)"
"(34.09564, -118.28428)"
"(34.04726, -118.27438)"
"(34.13525, -118.39201)"
"(34.02626, -118.27698)"
"(34.09025, -118.34147)"
"(34.29988, -118.44185)"
"(34.19366, -118.53225)"
"(34.06884, -118.29027)"
"(33.98753, -118.32945)"
"(34.015, -118.29024)"
"(34.14867, -118.28623)"
"(34.14865, -118.28197)"
"(34.09552, -118.32684)"
"(34.05643, -118.25357)"
"(34.02442, -118.29133)"
"(34.07594, -118.35916)"
"(34.02028, -118.35491)"
"(34.03517, -118.43924)"
"(33.96006, -118.37965)"
"(34.02207, -118.28645)"
"(34.04184, -118.56677)"
"(33.98007, -118.41764)"
"(33.95197, -118.38615)"
"(34.02213, -118.28686)"
"(34.02157, -118.28415)"
"(34.21548, -118.4953)"
"(34.19935, -118.60673)"
"(34.03285, -118.30872)"
"(34.04443, -118.27238)"
"(34.07732, -118.42984)"
"(34.1259, -118.27416)"
"(33.99043, -118.46567)"
"(34.04538, -118.26335)"
"(34.04103, -118.25333)"
"(34.07323, -118.26682)"
"(34.07188, -118.22229)"
"(34.0242, -118.28089)"
"(34.02394, -118.28034)"
"(34.08687, -118.29192)"
