,ASSETID,the_geom,INT_ID_FRO,INT_ID_TO,STNUM,MAPSHEET,ID,ADRF,ADRT,ZIP_R,ADLF,ADLT,ZIP_L,TDIR,STNAME,STSFX,SFXDIR,STNAME_A,STSFX_A,SECT_ID,SHAPE_Leng,SYMBOL,STREET_DES,PLANNING_S,TOOLTIP
12,180,"MULTILINESTRING ((-118.293719165122 34.00549431179721, -118.29480800241585 34.005497489158095))",4837,4835,1070,114B197,8059,1101,1149,90037,1100,1148,90037,W,43RD,ST,,,,6526900,330.0083875,4,Local Street,,43RD ST  \nStreet Designation: Local Street
13,181,"MULTILINESTRING ((-118.35702147373387 34.02549691967991, -118.35806568382252 34.025492858126206))",4417,4418,5598,120B177,7819,5161,5199,90016,5160,5198,90016,W,JEFFERSON,BLVD,,,,2817000,316.40852980200003,2,Secondary Highway,,JEFFERSON BLVD  \nStreet Designation: Secondary Highway
14,182,"MULTILINESTRING ((-118.35823907712978 34.02496184657508, -118.35818574549636 34.02439027528225, -118.35818032386997 34.024327539658586, -118.35817372669837 34.02423190316317, -118.3581691259915 34.02413606610351, -118.35816655809971 34.02404089280733, -118.35814091306268 34.02248805809725))",4427,4639,9367,120B177,7825,3421,3529,90016,3420,3528,90016,S,ALSACE,AVE,,,,0122100,901.0943860110001,4,Local Street,,ALSACE AVE  \nStreet Designation: Local Street
15,183,"MULTILINESTRING ((-118.36086738177016 34.02776829431247, -118.36116614000697 34.027011467720854))",4372,4389,7116,120B177,7839,2901,2929,90016,2900,2928,90016,S,DU RAY,PL,,,,1659900,289.91931667299997,4,Local Street,,DU RAY PL  \nStreet Designation: Local Street
16,184,"MULTILINESTRING ((-118.30672173685868 34.01643427219219, -118.30672626066693 34.01461738902642))",4739,4740,6034,117B193,7926,3833,3899,90062,3832,3898,90062,S,HARVARD,BLVD,,,,2471700,661.201912061,4,Local Street,,HARVARD BLVD  \nStreet Designation: Local Street
17,185,"MULTILINESTRING ((-118.32239181949562 34.01612906238249, -118.32239163776636 34.01579406897138, -118.32239140909088 34.015773519240746, -118.32239077216342 34.01575362178828, -118.32238972109396 34.01573373975379, -118.32238824730611 34.01571387745364, -118.32238636454385 34.01569403341997, -118.32238406256172 34.015674224854294, -118.32238134307856 34.01565445175203, -118.32237821472118 34.01563472267714, -118.32237466889097 34.01561503622146, -118.32237071597187 34.0155954109625, -118.32236634735429 34.015575842629744, -118.32236157340009 34.01555634407606, -118.32235639067221 34.015536915310605, -118.32235079747431 34.01551756206258, -118.32234479371299 34.0154982600021, -118.3223390590991 34.0154810109686, -118.32226722811953 34.01527101939207, -118.32226148134683 34.01525372888342, -118.32225547932718 34.01523442252068, -118.32224988617281 34.01521506926835, -118.32224470349199 34.015195640498455, -118.32223992956577 34.01517613621575, -118.3222355661731 34.01515657215846, -118.32223160641713 34.01513694262041, -118.3222280675336 34.01511726043608, -118.32222493923244 34.01509753135789, -118.32222221979465 34.01507775539039, -118.32221992301871 34.01505794537734, -118.32221803345304 34.01503810565368, -118.32221656657623 34.01501823904041, -118.32221551555737 34.01499835700523, -118.32221487867764 34.014978459552765, -118.3222146500478 34.014957909822805, -118.32221447335009 34.01459546492455))",4744,4745,7164,117B189,7931,3841,3899,90008,3840,3898,90008,S,DUBLIN,AVE,,,,1661100,564.103731779,3,Collector Street,,DUBLIN AVE  \nStreet Designation: Collector Street
18,186,"MULTILINESTRING ((-118.33140648082059 34.01153504193304, -118.33140630231796 34.01090220953959))",4750,4751,7456,114B185,7948,4001,4049,90008,4000,4048,90008,S,DEGNAN,BLVD,,,,1524900,230.30055889099998,3,Collector Street,,DEGNAN BLVD  \nStreet Designation: Collector Street
19,187,"MULTILINESTRING ((-118.35559548077104 34.00506084437226, -118.355607069381 34.00505016222984, -118.35562497356096 34.00503306122893, -118.35564231213598 34.00501590750708, -118.35564493187323 34.005013264980384, -118.35565971484088 34.00499807521321, -118.35567649032652 34.00498024905871, -118.35569291754331 34.00496215629716, -118.35570896051966 34.00494382422712, -118.35572461929833 34.004925262866905, -118.35573988531148 34.004906477966735, -118.35575475684698 34.00488747096286, -118.3557692287983 34.00486825332003, -118.35578328913653 34.00484882507379, -118.35579678937987 34.00482942710071, -118.35581020596113 34.00480934956106, -118.35582301632387 34.00478936683406, -118.35583541848686 34.00476916776938, -118.35584738697186 34.00474882257027, -118.3558583111124 34.00472939926846, -118.35604159972425 34.0043915948095, -118.35605695740217 34.00436329080373, -118.35613745760116 34.0042149330522, -118.35622810927354 34.0040482161305, -118.35653947480648 34.00347756584926))",4565,4599,7224,114B177,7716,4601,4699,90008,4600,4698,90008,W,DON ZAREMBO,DR,,,,1625500,645.284140031,0,,,
20,188,"MULTILINESTRING ((-118.30889242081801 34.021062361944985, -118.30934783526338 34.021061699531046, -118.31189651046553 34.02105796079698))",4714,4716,1086,120B193,8275,1701,1799,90018,1700,1798,90018,W,37TH,ST,,,,6495100,910.3159075130001,4,Local Street,,37TH ST  \nStreet Designation: Local Street
21,189,"MULTILINESTRING ((-118.31601600275262 34.00005611094857, -118.31602468097064 33.995041213358164))",4898,5250,7935,111B189,9214,4801,5199,90062,4800,5198,90062,S,CIMARRON,ST,,,,1162300,1825.02647703,4,Local Street,,CIMARRON ST  \nStreet Designation: Local Street
22,190,"MULTILINESTRING ((-118.24776329137576 33.99751121357759, -118.24776144177265 33.996631903496386))",6397,6408,7774,111A211,11016,5001,5099,90011,5000,5098,90011,S,COMPTON,AVE,,,,1321900,319.999560474,2,Secondary Highway,,COMPTON AVE  \nStreet Designation: Secondary Highway
23,191,"MULTILINESTRING ((-118.31133039313077 34.00099656126009, -118.31343210300533 34.00099020390321, -118.31382292598614 34.00098901796842))",4889,4890,1066,111B193,8761,1801,1899,90062,1800,1898,90062,W,47TH,ST,,,,6539100,755.4860412039999,4,Local Street,,47TH ST  \nStreet Designation: Local Street
24,192,"MULTILINESTRING ((-118.24993645169337 33.997522290798265, -118.24776329137576 33.99751121357759))",6396,6397,1060,111A211,11018,1400,1498,90011,1401,1499,90011,E,50TH,ST,,,,6547600,658.719646525,4,Local Street,,50TH ST  \nStreet Designation: Local Street
25,193,"MULTILINESTRING ((-118.34842863933417 34.05893475430528, -118.3490829550704 34.0572882713368))",6849,6856,7854,132B181,11527,901,999,90036,900,998,90036,S,COCHRAN,AVE,,,,1227900,631.112475914,3,Collector Street,,COCHRAN AVE  \nStreet Designation: Collector Street
26,194,"MULTILINESTRING ((-118.35357436359428 34.039287686835266, -118.35409091488684 34.039352869188356, -118.35460722275009 34.03941802285657))",6726,6745,1152,126B177,11964,5161,5199,90016,5160,5198,90016,W,21ST,ST,,,,6418200,316.48829317900004,4,Local Street,,21ST ST  \nStreet Designation: Local Street
27,195,"MULTILINESTRING ((-118.29153546355127 34.01815652075856, -118.29153592773028 34.01682474442182))",5019,5020,1871,117B197,8386,3777,3799,90007,3776,3798,90007,S,VERMONT,AVE,,,,5644500,484.66027939099996,0,,,
28,196,"MULTILINESTRING ((-118.29307007009552 34.01730035335245, -118.29306974041575 34.016823322999))",5017,5021,1455,117B197,8387,3801,3815,90037,3794,3798,90037,S,WISCONSIN,ST,,,,6067900,173.600996175,4,Local Street,,WISCONSIN ST  \nStreet Designation: Local Street
29,197,"MULTILINESTRING ((-118.3056654243779 34.016431295625566, -118.30619357545285 34.01643278507741, -118.30672173685868 34.01643427219219))",5028,4739,1084,117B193,8397,1477,1499,90062,1476,1498,90062,W,38TH,PL,,,,6495300,320.10870104599996,4,Local Street,,38TH PL  \nStreet Designation: Local Street
30,198,"MULTILINESTRING ((-118.31325150970818 34.0155410335761, -118.31342871537682 34.015541492395144, -118.31607429887241 34.0155483103655))",5034,5033,4400,117B189,8404,1801,1899,90062,1800,1898,90062,W,MIDDLETON,PL,,,,3684000,855.4363720919999,4,Local Street,,MIDDLETON PL  \nStreet Designation: Local Street
31,199,"MULTILINESTRING ((-118.30016900429597 34.01551384506093, -118.30022914602714 34.01551389871704, -118.30071281320738 34.01551432773214, -118.30125673383787 34.0155148076746))",5039,5038,1080,117B193,8409,1301,1329,90062,1300,1328,90062,W,39TH,ST,,,,6501100,329.631355104,3,Collector Street,,39TH ST  \nStreet Designation: Collector Street
32,200,"MULTILINESTRING ((-118.30890642111994 34.01371477643913, -118.31108197733526 34.013719123032054))",5074,4746,1081,117B193,8469,1601,1699,90062,1600,1698,90062,W,39TH,PL,,,,6499000,659.307827875,4,Local Street,,39TH PL  \nStreet Designation: Local Street
33,201,"MULTILINESTRING ((-118.32957483442611 34.01003598517113, -118.330430275479 34.010041839851354))",5096,5098,1074,114B185,8570,3301,3321,90008,3300,3320,90008,W,41ST,ST,,,,6514200,259.26298050400004,4,Local Street,,41ST ST  \nStreet Designation: Local Street
