,OBJECTID,TRACTCE10,POP,LATPOP_D,WHIPOP_D,BLAPOP_D,AMIPOP_D,ASIPOP_D,HPIPOP_D,OTHPOP_D,MMRPOP_D,VAP,LATVAP_D,WHIVAP_D,BLAVAP_D,AMIVAP_D,ASIVAP_D,HPIVAP_D,OTHVAP_D,MMRVAP_D,H0010001,H0010002,H0010003,TOOLTIP,NLA_URL
240,241,128400,4114,1489,2076,186,22,295,4,16,26,3193,1035,1752,137,17,225,2,9,16,1723,1654,69,Tract: 1284.00\nTotal Population: 4114,navigatela/reports/census_tracts_2010.cfm?PK=128400
241,242,128500,4015,688,2637,277,18,356,8,14,17,3412,527,2313,222,17,301,7,10,15,2111,1945,166,Tract: 1285.00\nTotal Population: 4015,navigatela/reports/census_tracts_2010.cfm?PK=128500
242,243,128601,4288,2082,1732,208,10,191,16,20,29,3271,1421,1467,167,9,157,14,14,22,1702,1609,93,Tract: 1286.01\nTotal Population: 4288,navigatela/reports/census_tracts_2010.cfm?PK=128601
243,244,128602,3189,562,2235,131,3,223,3,18,14,2596,423,1867,107,3,170,2,14,10,1411,1343,68,Tract: 1286.02\nTotal Population: 3189,navigatela/reports/census_tracts_2010.cfm?PK=128602
244,245,128702,5639,760,3951,384,23,463,14,22,22,4792,598,3431,314,20,385,11,20,13,2844,2705,139,Tract: 1287.02\nTotal Population: 5639,navigatela/reports/census_tracts_2010.cfm?PK=128702
245,246,128801,3307,489,2002,354,12,402,4,17,27,2882,380,1802,307,12,348,4,13,16,1964,1825,139,Tract: 1288.01\nTotal Population: 3307,navigatela/reports/census_tracts_2010.cfm?PK=128801
246,247,128802,4325,797,2718,297,18,438,5,21,31,3513,587,2295,234,14,344,4,16,19,2184,2016,168,Tract: 1288.02\nTotal Population: 4325,navigatela/reports/census_tracts_2010.cfm?PK=128802
247,248,128910,4083,581,2666,323,17,418,6,29,43,3362,451,2264,242,13,341,4,19,28,1937,1824,113,Tract: 1289.10\nTotal Population: 4083,navigatela/reports/census_tracts_2010.cfm?PK=128910
248,249,131010,6409,3570,1361,285,15,1101,9,29,39,4724,2420,1147,218,11,883,7,11,27,2090,1966,124,Tract: 1310.10\nTotal Population: 6409,navigatela/reports/census_tracts_2010.cfm?PK=131010
249,250,131020,5698,3585,1215,166,9,666,12,23,22,4172,2432,1044,128,8,529,11,8,12,1613,1531,82,Tract: 1310.20\nTotal Population: 5698,navigatela/reports/census_tracts_2010.cfm?PK=131020
250,251,131100,3252,1387,1391,151,16,285,6,10,6,2502,968,1180,106,13,217,5,9,4,1063,1020,43,Tract: 1311.00\nTotal Population: 3252,navigatela/reports/census_tracts_2010.cfm?PK=131100
251,252,131200,3429,1246,1500,147,27,456,17,20,16,2696,864,1309,105,24,358,15,10,11,1229,1150,79,Tract: 1312.00\nTotal Population: 3429,navigatela/reports/census_tracts_2010.cfm?PK=131200
252,253,131300,4902,3059,1023,107,20,643,11,17,22,3708,2151,893,82,16,526,11,9,20,1220,1177,43,Tract: 1313.00\nTotal Population: 4902,navigatela/reports/census_tracts_2010.cfm?PK=131300
253,254,131400,5897,2767,1672,376,23,967,26,37,29,4494,1898,1444,288,21,772,24,24,23,1913,1833,80,Tract: 1314.00\nTotal Population: 5897,navigatela/reports/census_tracts_2010.cfm?PK=131400
254,255,131600,5494,2993,1587,148,28,697,8,5,28,4183,2092,1379,108,21,559,4,2,18,1500,1427,73,Tract: 1316.00\nTotal Population: 5494,navigatela/reports/census_tracts_2010.cfm?PK=131600
255,256,131701,4541,1728,1399,308,16,1033,1,29,27,3525,1226,1237,227,13,789,1,14,18,1757,1630,127,Tract: 1317.01\nTotal Population: 4541,navigatela/reports/census_tracts_2010.cfm?PK=131701
256,257,131702,3751,1993,1019,208,10,498,6,5,12,2870,1396,894,160,10,399,6,1,4,1201,1146,55,Tract: 1317.02\nTotal Population: 3751,navigatela/reports/census_tracts_2010.cfm?PK=131702
257,258,131800,5341,3027,1267,148,23,817,7,24,28,3952,2034,1105,113,17,638,6,15,24,1643,1528,115,Tract: 1318.00\nTotal Population: 5341,navigatela/reports/census_tracts_2010.cfm?PK=131800
258,259,131900,4210,2046,1549,139,24,407,5,19,21,3255,1456,1314,99,20,333,5,14,14,1359,1294,65,Tract: 1319.00\nTotal Population: 4210,navigatela/reports/census_tracts_2010.cfm?PK=131900
259,260,132001,3202,1067,1666,123,14,296,3,20,13,2483,730,1378,96,12,245,1,15,6,1166,1111,55,Tract: 1320.01\nTotal Population: 3202,navigatela/reports/census_tracts_2010.cfm?PK=132001
260,261,132002,3299,1305,1566,96,13,277,7,21,14,2566,911,1315,79,11,228,5,9,8,1101,1065,36,Tract: 1320.02\nTotal Population: 3299,navigatela/reports/census_tracts_2010.cfm?PK=132002
261,262,132101,4259,2148,1341,310,7,403,11,19,20,3214,1473,1148,227,5,328,8,10,15,1587,1504,83,Tract: 1321.01\nTotal Population: 4259,navigatela/reports/census_tracts_2010.cfm?PK=132101
262,263,132102,5310,2474,1859,265,23,627,10,19,33,4109,1700,1626,217,21,505,9,12,19,2086,1957,129,Tract: 1321.02\nTotal Population: 5310,navigatela/reports/census_tracts_2010.cfm?PK=132102
263,264,132300,6494,3561,1666,221,27,936,16,34,33,4949,2468,1457,172,19,776,13,23,21,2399,2281,118,Tract: 1323.00\nTotal Population: 6494,navigatela/reports/census_tracts_2010.cfm?PK=132300
264,265,132501,3763,1798,1363,123,9,443,1,20,6,2996,1263,1254,89,9,361,1,14,5,1162,1074,88,Tract: 1325.01\nTotal Population: 3763,navigatela/reports/census_tracts_2010.cfm?PK=132501
265,266,132502,3672,1470,1598,132,11,423,7,14,17,2895,1075,1347,94,7,341,7,12,12,1328,1277,51,Tract: 1325.02\nTotal Population: 3672,navigatela/reports/census_tracts_2010.cfm?PK=132502
266,267,132700,4912,2949,1429,151,17,328,8,15,15,3637,2034,1193,105,14,269,7,7,8,1509,1461,48,Tract: 1327.00\nTotal Population: 4912,navigatela/reports/census_tracts_2010.cfm?PK=132700
267,268,132900,3461,766,2147,113,22,390,4,9,10,2794,545,1825,78,17,314,3,5,7,1329,1275,54,Tract: 1329.00\nTotal Population: 3461,navigatela/reports/census_tracts_2010.cfm?PK=132900
268,269,133000,4449,2489,1215,152,12,542,2,16,21,3344,1718,1039,109,12,438,2,9,17,1263,1199,64,Tract: 1330.00\nTotal Population: 4449,navigatela/reports/census_tracts_2010.cfm?PK=133000
269,270,133100,5446,1804,2748,220,19,596,24,16,19,4380,1251,2407,183,13,484,20,12,10,2116,1936,180,Tract: 1331.00\nTotal Population: 5446,navigatela/reports/census_tracts_2010.cfm?PK=133100
270,271,134001,3765,2840,334,106,1,453,13,8,10,2692,1976,270,79,1,347,8,5,6,955,912,43,Tract: 1340.01\nTotal Population: 3765,navigatela/reports/census_tracts_2010.cfm?PK=134001
271,272,134002,3372,2057,615,114,12,543,5,16,10,2542,1444,550,92,8,427,5,11,5,1045,980,65,Tract: 1340.02\nTotal Population: 3372,navigatela/reports/census_tracts_2010.cfm?PK=134002
272,273,134101,4922,2021,1299,204,11,1328,11,16,32,3720,1363,1130,131,10,1046,7,5,28,1479,1410,69,Tract: 1341.01\nTotal Population: 4922,navigatela/reports/census_tracts_2010.cfm?PK=134101
273,274,134103,4193,1760,1404,202,19,784,2,9,13,3249,1217,1230,150,19,617,2,5,9,1334,1276,58,Tract: 1341.03\nTotal Population: 4193,navigatela/reports/census_tracts_2010.cfm?PK=134103
274,275,134104,4322,1856,856,265,6,1266,11,28,34,3234,1275,698,212,6,993,9,10,31,1395,1244,151,Tract: 1341.04\nTotal Population: 4322,navigatela/reports/census_tracts_2010.cfm?PK=134104
275,276,134201,4270,2328,1180,115,6,612,6,6,17,3086,1497,999,85,6,481,3,3,12,1231,1154,77,Tract: 1342.01\nTotal Population: 4270,navigatela/reports/census_tracts_2010.cfm?PK=134201
276,277,134302,3732,850,2031,141,16,639,8,12,35,2934,612,1697,99,12,480,7,7,20,1267,1239,28,Tract: 1343.02\nTotal Population: 3732,navigatela/reports/census_tracts_2010.cfm?PK=134302
277,278,134303,5057,1786,2146,188,27,865,12,8,25,3982,1258,1854,139,25,679,12,1,14,1838,1753,85,Tract: 1343.03\nTotal Population: 5057,navigatela/reports/census_tracts_2010.cfm?PK=134303
278,279,134304,2882,817,1326,126,13,569,4,14,13,2289,555,1151,95,10,460,2,6,10,953,909,44,Tract: 1343.04\nTotal Population: 2882,navigatela/reports/census_tracts_2010.cfm?PK=134304
279,280,134305,3847,2985,329,114,2,393,1,9,14,2620,1923,281,81,2,316,1,5,11,1076,1017,59,Tract: 1343.05\nTotal Population: 3847,navigatela/reports/census_tracts_2010.cfm?PK=134305
280,281,134306,3498,1555,931,303,21,643,5,8,32,2635,1053,821,218,14,506,3,7,13,1244,1142,102,Tract: 1343.06\nTotal Population: 3498,navigatela/reports/census_tracts_2010.cfm?PK=134306
281,282,134421,3941,330,2902,85,13,577,8,15,11,2976,248,2227,59,11,409,5,10,7,1400,1372,28,Tract: 1344.21\nTotal Population: 3941,navigatela/reports/census_tracts_2010.cfm?PK=134421
282,283,134422,4684,748,2891,193,8,805,7,8,24,3648,544,2322,131,8,623,4,6,10,1598,1557,41,Tract: 1344.22\nTotal Population: 4684,navigatela/reports/census_tracts_2010.cfm?PK=134422
283,284,134423,3414,419,2301,96,7,555,8,9,19,2707,299,1882,64,7,432,5,6,12,1269,1235,34,Tract: 1344.23\nTotal Population: 3414,navigatela/reports/census_tracts_2010.cfm?PK=134423
284,285,134424,2887,194,2063,55,6,527,0,24,18,2208,131,1586,44,2,420,0,12,13,951,941,10,Tract: 1344.24\nTotal Population: 2887,navigatela/reports/census_tracts_2010.cfm?PK=134424
285,286,134520,5453,3968,795,161,14,455,10,32,18,3967,2723,696,134,14,366,7,13,14,1935,1771,164,Tract: 1345.20\nTotal Population: 5453,navigatela/reports/census_tracts_2010.cfm?PK=134520
286,287,134521,3126,2821,162,30,4,91,0,14,4,2133,1932,109,19,3,65,0,1,4,744,693,51,Tract: 1345.21\nTotal Population: 3126,navigatela/reports/census_tracts_2010.cfm?PK=134521
287,288,134522,3954,2768,613,209,9,310,19,7,19,2734,1816,516,130,8,239,7,5,13,1327,1241,86,Tract: 1345.22\nTotal Population: 3954,navigatela/reports/census_tracts_2010.cfm?PK=134522
288,289,134710,5287,3646,739,175,13,654,2,30,28,3719,2405,631,123,9,512,2,17,20,1606,1525,81,Tract: 1347.10\nTotal Population: 5287,navigatela/reports/census_tracts_2010.cfm?PK=134710
289,290,134720,4594,2066,1276,301,17,852,9,31,42,3527,1441,1130,211,16,670,9,24,26,1642,1543,99,Tract: 1347.20\nTotal Population: 4594,navigatela/reports/census_tracts_2010.cfm?PK=134720
290,291,134800,5949,2781,1991,261,30,830,10,10,36,4617,1970,1733,188,27,658,10,8,23,1903,1832,71,Tract: 1348.00\nTotal Population: 5949,navigatela/reports/census_tracts_2010.cfm?PK=134800
291,292,134901,3069,775,1799,148,11,296,7,18,15,2460,561,1517,109,10,239,7,8,9,1176,1128,48,Tract: 1349.01\nTotal Population: 3069,navigatela/reports/census_tracts_2010.cfm?PK=134901
292,293,134903,4216,1653,1287,386,13,807,4,26,40,3398,1213,1151,299,12,671,4,17,31,2138,1824,314,Tract: 1349.03\nTotal Population: 4216,navigatela/reports/census_tracts_2010.cfm?PK=134903
293,294,134904,4338,2363,1281,204,10,452,7,6,15,3250,1622,1094,141,7,367,7,2,10,1451,1363,88,Tract: 1349.04\nTotal Population: 4338,navigatela/reports/census_tracts_2010.cfm?PK=134904
294,295,134905,2819,355,1726,264,10,428,5,11,20,2425,289,1525,212,6,361,5,11,16,1774,1445,329,Tract: 1349.05\nTotal Population: 2819,navigatela/reports/census_tracts_2010.cfm?PK=134905
295,296,135102,3513,615,2260,140,9,439,7,20,23,2804,428,1899,97,8,337,4,16,15,1231,1183,48,Tract: 1351.02\nTotal Population: 3513,navigatela/reports/census_tracts_2010.cfm?PK=135102
296,297,135111,2967,691,1731,139,16,357,7,8,18,2352,477,1456,99,14,280,6,7,13,1184,1116,68,Tract: 1351.11\nTotal Population: 2967,navigatela/reports/census_tracts_2010.cfm?PK=135111
297,298,135113,2795,379,1467,285,19,593,18,21,13,2249,283,1254,201,15,455,15,15,11,1457,1288,169,Tract: 1351.13\nTotal Population: 2795,navigatela/reports/census_tracts_2010.cfm?PK=135113
298,299,135114,4445,563,2274,241,27,1281,4,11,44,3868,424,2130,209,21,1038,4,10,32,2689,2498,191,Tract: 1351.14\nTotal Population: 4445,navigatela/reports/census_tracts_2010.cfm?PK=135114
299,300,135201,2620,379,1780,98,9,339,4,5,6,2017,253,1435,63,8,245,4,5,4,917,866,51,Tract: 1352.01\nTotal Population: 2620,navigatela/reports/census_tracts_2010.cfm?PK=135201
300,301,135202,4255,658,2854,138,33,541,4,10,17,3221,436,2253,91,26,395,4,5,11,1507,1466,41,Tract: 1352.02\nTotal Population: 4255,navigatela/reports/census_tracts_2010.cfm?PK=135202
301,302,135203,6273,809,4360,155,25,853,17,16,38,4851,561,3486,109,18,636,12,11,18,2198,2143,55,Tract: 1352.03\nTotal Population: 6273,navigatela/reports/census_tracts_2010.cfm?PK=135203
302,303,137103,4199,492,2580,273,17,763,9,15,50,3615,388,2319,219,14,622,9,12,32,2523,2136,387,Tract: 1371.03\nTotal Population: 4199,navigatela/reports/census_tracts_2010.cfm?PK=137103
303,304,137104,2717,246,2095,91,6,256,8,9,6,2249,177,1777,62,4,208,8,7,6,1085,1046,39,Tract: 1371.04\nTotal Population: 2717,navigatela/reports/census_tracts_2010.cfm?PK=137104
304,305,137201,5270,720,3372,301,28,766,9,29,45,4242,507,2830,217,20,604,9,24,31,2339,2186,153,Tract: 1372.01\nTotal Population: 5270,navigatela/reports/census_tracts_2010.cfm?PK=137201
305,306,137301,2264,170,1788,67,12,218,1,6,2,1772,130,1417,51,9,159,1,4,1,807,776,31,Tract: 1373.01\nTotal Population: 2264,navigatela/reports/census_tracts_2010.cfm?PK=137301
306,307,137302,4338,336,3404,93,4,454,10,10,27,3478,220,2811,67,3,349,8,5,15,1606,1560,46,Tract: 1373.02\nTotal Population: 4338,navigatela/reports/census_tracts_2010.cfm?PK=137302
307,308,137401,4157,411,3210,142,16,334,5,16,23,3210,283,2534,100,13,252,4,7,17,1707,1624,83,Tract: 1374.01\nTotal Population: 4157,navigatela/reports/census_tracts_2010.cfm?PK=137401
308,309,137402,5364,414,4096,265,12,517,7,22,31,4309,289,3374,196,9,404,6,11,20,2151,2063,88,Tract: 1374.02\nTotal Population: 5364,navigatela/reports/census_tracts_2010.cfm?PK=137402
309,310,137501,4124,535,2789,253,9,484,6,12,36,3328,401,2300,186,7,399,5,9,21,1820,1728,92,Tract: 1375.01\nTotal Population: 4124,navigatela/reports/census_tracts_2010.cfm?PK=137501
310,311,137502,4202,417,3162,195,16,359,9,15,29,3424,303,2661,131,14,279,7,12,17,2023,1853,170,Tract: 1375.02\nTotal Population: 4202,navigatela/reports/census_tracts_2010.cfm?PK=137502
311,312,137504,1939,83,1610,77,0,149,3,7,10,1539,56,1314,44,0,112,2,4,7,724,701,23,Tract: 1375.04\nTotal Population: 1939,navigatela/reports/census_tracts_2010.cfm?PK=137504
312,313,138000,4484,350,3604,123,27,327,7,17,29,3626,262,2954,86,22,260,6,14,22,1879,1809,70,Tract: 1380.00\nTotal Population: 4484,navigatela/reports/census_tracts_2010.cfm?PK=138000
313,314,139001,4767,851,3149,251,25,437,15,10,29,3851,641,2633,184,21,337,8,8,19,2185,2032,153,Tract: 1390.01\nTotal Population: 4767,navigatela/reports/census_tracts_2010.cfm?PK=139001
314,315,139200,5175,912,3393,268,21,512,20,25,24,4205,676,2848,200,16,416,17,16,16,2433,2227,206,Tract: 1392.00\nTotal Population: 5175,navigatela/reports/census_tracts_2010.cfm?PK=139200
315,316,139301,4462,426,3397,177,12,398,21,13,18,3531,309,2746,119,10,310,13,11,13,1712,1610,102,Tract: 1393.01\nTotal Population: 4462,navigatela/reports/census_tracts_2010.cfm?PK=139301
316,317,139302,4422,1197,2185,447,18,518,15,16,26,3589,856,1924,329,18,423,12,6,21,2079,1945,134,Tract: 1393.02\nTotal Population: 4422,navigatela/reports/census_tracts_2010.cfm?PK=139302
317,318,139303,4186,1120,2251,302,22,409,10,37,35,3415,791,1967,239,18,341,9,27,23,2011,1883,128,Tract: 1393.03\nTotal Population: 4186,navigatela/reports/census_tracts_2010.cfm?PK=139303
318,319,139401,2645,582,1586,149,21,256,12,13,26,2132,446,1310,115,14,211,11,8,17,1308,1183,125,Tract: 1394.01\nTotal Population: 2645,navigatela/reports/census_tracts_2010.cfm?PK=139401
319,320,139402,2851,148,2413,51,11,190,9,10,19,2122,100,1808,36,11,140,7,7,13,983,941,42,Tract: 1394.02\nTotal Population: 2851,navigatela/reports/census_tracts_2010.cfm?PK=139402
320,321,139502,3007,259,2325,54,10,316,14,20,9,2395,196,1880,47,7,234,12,12,7,1247,1192,55,Tract: 1395.02\nTotal Population: 3007,navigatela/reports/census_tracts_2010.cfm?PK=139502
321,322,139503,4657,537,3420,187,8,430,18,38,19,4071,426,3041,156,8,381,18,28,13,2617,2436,181,Tract: 1395.03\nTotal Population: 4657,navigatela/reports/census_tracts_2010.cfm?PK=139503
322,323,139504,3476,343,2653,139,7,289,20,11,14,3037,257,2369,121,4,246,18,10,12,1854,1737,117,Tract: 1395.04\nTotal Population: 3476,navigatela/reports/census_tracts_2010.cfm?PK=139504
323,324,139600,4633,393,3594,199,16,389,9,6,27,3896,315,3051,155,13,332,7,3,20,2273,2121,152,Tract: 1396.00\nTotal Population: 4633,navigatela/reports/census_tracts_2010.cfm?PK=139600
324,325,139701,4920,319,4091,106,4,366,10,11,13,3855,235,3251,71,4,272,9,5,8,2016,1919,97,Tract: 1397.01\nTotal Population: 4920,navigatela/reports/census_tracts_2010.cfm?PK=139701
325,326,139702,6250,272,5361,98,13,464,14,11,17,4817,201,4150,71,8,358,11,7,11,2381,2314,67,Tract: 1397.02\nTotal Population: 6250,navigatela/reports/census_tracts_2010.cfm?PK=139702
326,327,139703,2943,129,2477,50,5,248,7,7,20,2273,104,1925,31,3,189,5,7,9,1028,990,38,Tract: 1397.03\nTotal Population: 2943,navigatela/reports/census_tracts_2010.cfm?PK=139703
327,328,139801,3539,126,3099,52,7,229,9,9,8,2735,89,2407,37,4,179,8,6,5,1330,1270,60,Tract: 1398.01\nTotal Population: 3539,navigatela/reports/census_tracts_2010.cfm?PK=139801
328,329,139802,3865,178,3225,100,1,341,1,3,16,3014,131,2555,68,0,253,0,0,7,1405,1372,33,Tract: 1398.02\nTotal Population: 3865,navigatela/reports/census_tracts_2010.cfm?PK=139802
329,330,141101,4066,490,2891,244,20,357,13,15,36,3489,392,2556,194,16,285,10,15,21,2418,2248,170,Tract: 1411.01\nTotal Population: 4066,navigatela/reports/census_tracts_2010.cfm?PK=141101
330,331,141102,2869,325,2135,156,6,206,1,20,20,2367,250,1791,123,6,168,1,15,13,1450,1368,82,Tract: 1411.02\nTotal Population: 2869,navigatela/reports/census_tracts_2010.cfm?PK=141102
331,332,141201,3707,593,2497,284,7,283,7,9,27,3120,464,2160,223,7,233,7,9,17,2024,1892,132,Tract: 1412.01\nTotal Population: 3707,navigatela/reports/census_tracts_2010.cfm?PK=141201
332,333,141202,2800,253,2181,121,4,203,2,13,23,2334,205,1833,97,4,169,1,11,14,1504,1413,91,Tract: 1412.02\nTotal Population: 2800,navigatela/reports/census_tracts_2010.cfm?PK=141202
333,334,141302,5504,646,3880,320,18,574,10,20,36,4764,538,3400,273,15,491,9,16,22,3080,2897,183,Tract: 1413.02\nTotal Population: 5504,navigatela/reports/census_tracts_2010.cfm?PK=141302
334,335,141303,3089,411,2161,192,9,289,3,15,9,2735,327,1960,159,8,258,2,12,9,1784,1680,104,Tract: 1413.03\nTotal Population: 3089,navigatela/reports/census_tracts_2010.cfm?PK=141303
335,336,141304,2738,236,2100,120,14,229,9,11,19,2303,186,1798,100,13,183,2,9,12,1525,1422,103,Tract: 1413.04\nTotal Population: 2738,navigatela/reports/census_tracts_2010.cfm?PK=141304
336,337,141400,4412,411,3459,166,9,320,12,19,16,3599,313,2853,124,9,261,10,15,14,2078,1948,130,Tract: 1414.00\nTotal Population: 4412,navigatela/reports/census_tracts_2010.cfm?PK=141400
337,338,141500,2984,160,2520,45,4,225,6,16,8,2342,129,1990,33,4,167,3,11,5,1166,1128,38,Tract: 1415.00\nTotal Population: 2984,navigatela/reports/census_tracts_2010.cfm?PK=141500
338,339,141600,4029,219,3379,99,9,307,1,6,9,3236,170,2725,72,8,249,1,6,5,1745,1673,72,Tract: 1416.00\nTotal Population: 4029,navigatela/reports/census_tracts_2010.cfm?PK=141600
339,340,141700,3091,156,2573,89,6,235,3,14,15,2452,112,2080,64,3,168,3,11,11,1343,1269,74,Tract: 1417.00\nTotal Population: 3091,navigatela/reports/census_tracts_2010.cfm?PK=141700
340,341,143100,3984,490,2988,184,22,265,3,9,23,3473,390,2648,155,19,237,3,7,14,2277,2093,184,Tract: 1431.00\nTotal Population: 3984,navigatela/reports/census_tracts_2010.cfm?PK=143100
341,342,143200,3743,705,2285,332,25,341,8,13,34,3251,560,2062,271,25,290,7,10,26,2141,1986,155,Tract: 1432.00\nTotal Population: 3743,navigatela/reports/census_tracts_2010.cfm?PK=143200
342,343,143300,5871,927,4117,298,25,436,7,23,38,4905,695,3548,244,23,346,5,20,24,3128,2953,175,Tract: 1433.00\nTotal Population: 5871,navigatela/reports/census_tracts_2010.cfm?PK=143300
343,344,143400,5881,596,4533,252,40,378,4,41,37,4937,477,3850,214,27,310,4,26,29,3181,2935,246,Tract: 1434.00\nTotal Population: 5881,navigatela/reports/census_tracts_2010.cfm?PK=143400
344,345,143500,4708,383,3723,186,22,342,6,16,30,3876,318,3099,143,18,258,5,12,23,2388,2238,150,Tract: 1435.00\nTotal Population: 4708,navigatela/reports/census_tracts_2010.cfm?PK=143500
345,346,143602,4260,348,3291,198,27,353,3,11,29,3595,291,2804,164,25,279,3,8,21,2137,2045,92,Tract: 1436.02\nTotal Population: 4260,navigatela/reports/census_tracts_2010.cfm?PK=143602
346,347,143603,2222,277,1593,125,13,183,1,13,17,1982,227,1457,104,11,157,1,10,15,1310,1244,66,Tract: 1436.03\nTotal Population: 2222,navigatela/reports/census_tracts_2010.cfm?PK=143603
347,348,143604,3205,413,1964,328,22,427,14,13,24,2991,368,1871,298,20,390,11,12,21,2313,2006,307,Tract: 1436.04\nTotal Population: 3205,navigatela/reports/census_tracts_2010.cfm?PK=143604
348,349,143700,3748,265,2927,176,19,318,5,25,13,3287,212,2614,138,16,274,3,20,10,2085,1903,182,Tract: 1437.00\nTotal Population: 3748,navigatela/reports/census_tracts_2010.cfm?PK=143700
349,350,143800,4878,355,3856,218,14,400,4,9,22,4089,271,3284,175,12,324,3,6,14,2507,2341,166,Tract: 1438.00\nTotal Population: 4878,navigatela/reports/census_tracts_2010.cfm?PK=143800
350,351,143901,4068,244,3375,82,9,327,8,18,5,3190,177,2687,64,7,237,5,8,5,1741,1647,94,Tract: 1439.01\nTotal Population: 4068,navigatela/reports/census_tracts_2010.cfm?PK=143901
351,352,143902,3000,218,2438,114,13,196,1,10,10,2460,172,2013,96,13,149,1,8,8,1453,1390,63,Tract: 1439.02\nTotal Population: 3000,navigatela/reports/census_tracts_2010.cfm?PK=143902
352,353,181000,6144,1695,2565,110,42,1663,10,18,41,5010,1258,2208,88,34,1372,10,13,27,2315,2216,99,Tract: 1810.00\nTotal Population: 6144,navigatela/reports/census_tracts_2010.cfm?PK=181000
353,354,181300,3629,1209,1146,90,15,1139,5,8,17,2944,881,1021,62,13,946,5,5,11,1399,1340,59,Tract: 1813.00\nTotal Population: 3629,navigatela/reports/census_tracts_2010.cfm?PK=181300
354,355,181400,4302,1536,1262,118,20,1322,2,11,31,3502,1154,1150,93,15,1054,2,9,25,1760,1666,94,Tract: 1814.00\nTotal Population: 4302,navigatela/reports/census_tracts_2010.cfm?PK=181400
355,356,181500,3812,1607,1198,61,29,886,8,6,17,3060,1223,1022,51,21,714,8,5,16,1393,1342,51,Tract: 1815.00\nTotal Population: 3812,navigatela/reports/census_tracts_2010.cfm?PK=181500
356,357,181600,4352,1591,1582,99,27,990,12,10,41,3707,1189,1507,97,25,835,11,9,34,1043,993,50,Tract: 1816.00\nTotal Population: 4352,navigatela/reports/census_tracts_2010.cfm?PK=181600
357,358,183101,3922,2607,817,79,24,365,5,12,13,3021,1886,720,56,20,319,4,9,7,1336,1280,56,Tract: 1831.01\nTotal Population: 3922,navigatela/reports/census_tracts_2010.cfm?PK=183101
358,359,183103,3967,2897,452,130,31,424,2,14,17,2986,2072,397,108,17,367,2,9,14,1432,1350,82,Tract: 1831.03\nTotal Population: 3967,navigatela/reports/census_tracts_2010.cfm?PK=183103
359,360,183104,2065,1079,465,56,7,434,4,12,8,1660,825,415,45,7,351,4,6,7,779,748,31,Tract: 1831.04\nTotal Population: 2065,navigatela/reports/census_tracts_2010.cfm?PK=183104
360,361,183220,4114,3072,356,66,10,580,5,20,5,2995,2148,292,48,10,479,5,9,4,1184,1123,61,Tract: 1832.20\nTotal Population: 4114,navigatela/reports/census_tracts_2010.cfm?PK=183220
361,362,183221,3118,2062,654,90,17,275,5,4,11,2328,1430,580,53,14,238,3,2,8,1051,998,53,Tract: 1832.21\nTotal Population: 3118,navigatela/reports/census_tracts_2010.cfm?PK=183221
362,363,183222,3483,1712,924,115,25,659,8,12,28,2843,1312,843,93,21,537,8,7,22,1361,1291,70,Tract: 1832.22\nTotal Population: 3483,navigatela/reports/census_tracts_2010.cfm?PK=183222
363,364,183300,3480,2504,304,19,8,620,2,17,6,2557,1757,255,12,8,512,2,6,5,1041,990,51,Tract: 1833.00\nTotal Population: 3480,navigatela/reports/census_tracts_2010.cfm?PK=183300
364,365,183401,2543,1565,398,37,11,508,3,7,14,1991,1174,347,28,8,420,3,4,7,850,812,38,Tract: 1834.01\nTotal Population: 2543,navigatela/reports/census_tracts_2010.cfm?PK=183401
365,366,183402,2820,1326,505,49,2,914,5,7,12,2228,968,467,42,2,732,5,7,5,994,914,80,Tract: 1834.02\nTotal Population: 2820,navigatela/reports/census_tracts_2010.cfm?PK=183402
366,367,183510,2725,2131,303,20,14,248,0,2,7,2050,1547,258,17,13,209,0,1,5,783,759,24,Tract: 1835.10\nTotal Population: 2725,navigatela/reports/census_tracts_2010.cfm?PK=183510
367,368,183520,3881,3314,340,55,15,140,3,7,7,2715,2223,302,39,12,125,3,4,7,1131,1072,59,Tract: 1835.20\nTotal Population: 3881,navigatela/reports/census_tracts_2010.cfm?PK=183520
368,369,183610,3275,2641,270,71,13,243,2,17,18,2367,1838,233,56,11,206,2,9,12,1021,934,87,Tract: 1836.10\nTotal Population: 3275,navigatela/reports/census_tracts_2010.cfm?PK=183610
369,370,183620,3264,2409,404,45,15,373,2,8,8,2360,1630,365,32,13,307,2,5,6,1018,962,56,Tract: 1836.20\nTotal Population: 3264,navigatela/reports/census_tracts_2010.cfm?PK=183620
370,371,183701,3922,3260,321,115,16,191,0,4,15,2827,2241,297,91,11,174,0,3,10,1366,1263,103,Tract: 1837.01\nTotal Population: 3922,navigatela/reports/census_tracts_2010.cfm?PK=183701
371,372,183702,2802,1618,454,120,13,577,1,7,12,2225,1188,414,93,12,502,1,5,10,1103,1048,55,Tract: 1837.02\nTotal Population: 2802,navigatela/reports/census_tracts_2010.cfm?PK=183702
372,373,183810,4369,3825,276,66,15,165,3,1,18,3026,2546,248,52,13,153,3,1,10,1369,1276,93,Tract: 1838.10\nTotal Population: 4369,navigatela/reports/census_tracts_2010.cfm?PK=183810
