,OBJECTID,TRACTCE10,POP,LATPOP_D,WHIPOP_D,BLAPOP_D,AMIPOP_D,ASIPOP_D,HPIPOP_D,OTHPOP_D,MMRPOP_D,VAP,LATVAP_D,WHIVAP_D,BLAVAP_D,AMIVAP_D,ASIVAP_D,HPIVAP_D,OTHVAP_D,MMRVAP_D,H0010001,H0010002,H0010003,TOOLTIP,NLA_URL
144,145,120104,2310,1599,184,131,5,370,3,4,14,1671,1065,155,120,5,308,3,2,13,764,726,38,Tract: 1201.04\nTotal Population: 2310,navigatela/reports/census_tracts_2010.cfm?PK=120104
145,146,120105,2812,2043,280,55,3,405,1,12,13,2059,1397,251,42,3,348,1,4,13,864,830,34,Tract: 1201.05\nTotal Population: 2812,navigatela/reports/census_tracts_2010.cfm?PK=120105
146,147,120106,4417,3427,206,103,9,642,5,16,9,3008,2201,176,79,9,521,4,10,8,1197,1118,79,Tract: 1201.06\nTotal Population: 4417,navigatela/reports/census_tracts_2010.cfm?PK=120106
147,148,120107,3818,3276,203,79,5,213,0,10,32,2406,1978,159,66,2,175,0,4,22,1046,973,73,Tract: 1201.07\nTotal Population: 3818,navigatela/reports/census_tracts_2010.cfm?PK=120107
148,149,120108,4838,3976,301,187,16,316,7,21,14,3255,2565,263,124,15,264,3,9,12,1302,1218,84,Tract: 1201.08\nTotal Population: 4838,navigatela/reports/census_tracts_2010.cfm?PK=120108
149,150,120300,5531,3381,898,89,14,1118,7,12,12,4196,2414,765,70,7,919,6,5,10,1463,1404,59,Tract: 1203.00\nTotal Population: 5531,navigatela/reports/census_tracts_2010.cfm?PK=120300
150,151,120400,6272,3556,1110,186,14,1328,23,23,32,4771,2538,950,160,8,1061,18,15,21,2022,1946,76,Tract: 1204.00\nTotal Population: 6272,navigatela/reports/census_tracts_2010.cfm?PK=120400
151,152,121010,4989,3125,1203,54,24,546,3,21,13,3781,2194,1023,50,19,465,3,15,12,1301,1256,45,Tract: 1210.10\nTotal Population: 4989,navigatela/reports/census_tracts_2010.cfm?PK=121010
152,153,121020,3741,2231,1002,62,11,395,17,18,5,2798,1541,842,54,7,328,11,12,3,1046,994,52,Tract: 1210.20\nTotal Population: 3741,navigatela/reports/census_tracts_2010.cfm?PK=121020
153,154,121101,2932,2040,504,61,8,301,4,5,9,2203,1433,434,51,7,261,4,4,9,956,899,57,Tract: 1211.01\nTotal Population: 2932,navigatela/reports/census_tracts_2010.cfm?PK=121101
154,155,121102,2721,1574,926,34,8,162,4,6,7,2057,1088,781,20,8,145,4,4,7,829,776,53,Tract: 1211.02\nTotal Population: 2721,navigatela/reports/census_tracts_2010.cfm?PK=121102
