,the_geom,CNSLD,VBM
77,"MULTIPOLYGON (((-118.4202123532437 34.05053490634611, -118.42054646390945 34.0503441396079, -118.42108939245232 34.050974260665036, -118.42123054957044 34.05114380780204, -118.421383396515 34.05134076483002, -118.42141170597269 34.051390127865716, -118.42143177604484 34.05144158055885, -118.42144854714972 34.05149477751276, -118.4214702870487 34.05155067434967, -118.42147220412465 34.051603564331785, -118.42148245869556 34.05167189375436, -118.42148424557074 34.05169936630902, -118.42148452243862 34.05175432563014, -118.42148005238346 34.051850841554646, -118.4214596322975 34.052056319496174, -118.42146183660502 34.05216622787212, -118.42147909929184 34.05231697372209, -118.42149595143539 34.05238492581583, -118.42150596616119 34.05240755996274, -118.42110799965312 34.052704343590364, -118.42109485113969 34.05271433697923, -118.4209386423981 34.05283509859019, -118.42086961786771 34.0528947764825, -118.42084006285337 34.05292749612325, -118.42082367663295 34.052950583843995, -118.42080894365509 34.05297569245261, -118.42079752266108 34.053001842511854, -118.42078617288531 34.053041723604224, -118.42077976766748 34.05308227804294, -118.42077234868782 34.05324753636071, -118.42077345592104 34.05346769370812, -118.4207692623718 34.05361850901458, -118.42076293780666 34.05367381859906, -118.42075646739507 34.05370099087601, -118.42074181059627 34.053740201025136, -118.42072873209463 34.05376566537572, -118.42070746156122 34.053802478841824, -118.42068122901144 34.05383796179449, -118.42064513818218 34.05388342842316, -118.42060574774906 34.05392753169209, -118.42043169505853 34.05411086634146, -118.42026418148667 34.05428146363143, -118.42017388387276 34.05438001272212, -118.42014434269696 34.054414136735915, -118.42012795928913 34.05443788067003, -118.42011487212223 34.05446232534773, -118.42009209861659 34.054528001174496, -118.4200647925652 34.05467854075066, -118.4200312859922 34.05491052584519, -118.42002165763117 34.054964830852846, -118.41999578926767 34.05507277418594, -118.41996812481214 34.055152200987806, -118.41994361481072 34.055202789323424, -118.41989279873067 34.05527372571713, -118.41980250217213 34.055371922025564, -118.419643174555 34.055529791870924, -118.41931789733859 34.05584143570808, -118.41926964389565 34.05576534598217, -118.4189359572858 34.05538834062996, -118.41827511899264 34.05461742874035, -118.41804935400033 34.05436334199176, -118.41798959433261 34.05429658552315, -118.4172491730201 34.05345280020727, -118.41696526638572 34.05312403444667, -118.41671955550986 34.05283978475453, -118.41691201604621 34.05270585285208, -118.4174893529076 34.0522964798526, -118.41779698523221 34.05208795017495, -118.41830535611568 34.0517516378413, -118.41835306743017 34.051719513145436, -118.41839089960462 34.051693638742975, -118.41853072132781 34.051597304825606, -118.41878731804788 34.05141574220384, -118.41892054817919 34.05132221192797, -118.41909986474546 34.051201009423316, -118.41938946000897 34.05101864131496, -118.41961163318997 34.05088666100406, -118.41972518728919 34.050818610675286, -118.4202123532437 34.05053490634611)))",9001256B,F
78,"MULTIPOLYGON (((-118.41667597283795 34.046541485198745, -118.41705352056263 34.0463234041797, -118.41773414361757 34.04710488283213, -118.41836164795927 34.04782436200673, -118.4189609488384 34.048512360480025, -118.41955527221023 34.04919347658796, -118.42054646390945 34.0503441396079, -118.4202123532437 34.05053490634611, -118.41972518728919 34.050818610675286, -118.41961163318997 34.05088666100406, -118.41938946000897 34.05101864131496, -118.41909986474546 34.051201009423316, -118.41892054817919 34.05132221192797, -118.41878731804788 34.05141574220384, -118.41853072132781 34.051597304825606, -118.41839089960462 34.051693638742975, -118.41835306743017 34.051719513145436, -118.41830535611568 34.0517516378413, -118.41779698523221 34.05208795017495, -118.4174893529076 34.0522964798526, -118.41691201604621 34.05270585285208, -118.41671955550986 34.05283978475453, -118.41667599719463 34.05287027351291, -118.41662085824255 34.05290882226423, -118.4164020430572 34.05305486023663, -118.41632648535106 34.05310415974318, -118.41622415987219 34.05298156382703, -118.41621356430451 34.052969265543936, -118.41615358957866 34.052899715063916, -118.41611392667127 34.05285370035925, -118.41610814637919 34.052847007446985, -118.41586910833117 34.05256980739322, -118.415825533295 34.052518730426016, -118.41580976076634 34.05251387948399, -118.41267188333822 34.04885489360734, -118.41308867547328 34.04861433735736, -118.41310349410932 34.04860604573505, -118.41528096509043 34.04734691407275, -118.41530565485027 34.04733309247547, -118.41667597283795 34.046541485198745)))",9001257B,F
79,"MULTIPOLYGON (((-118.39541567802219 34.03984352057046, -118.39540073259788 34.039825020458586, -118.39538745811797 34.0398092609447, -118.39533604638069 34.039756535406795, -118.39528800096203 34.0397185803725, -118.39524991891179 34.03969191236121, -118.39518206455334 34.03965261753857, -118.39513906388741 34.03963283888334, -118.39507789824988 34.03961174300953, -118.39499857416767 34.03958933257272, -118.39471272455344 34.03951986390205, -118.39452925252716 34.039461713300994, -118.39446325428139 34.03944549938593, -118.39440040348028 34.03943534337668, -118.39435087281367 34.03943207301842, -118.39423536119364 34.039435551506486, -118.39390538540265 34.03945792628971, -118.39369256776781 34.03947647977193, -118.39361006885558 34.03948120321749, -118.3935275565256 34.03948284520865, -118.39346153349726 34.039480668606785, -118.3933954840422 34.039473330775145, -118.3931559379373 34.03942360169364, -118.39307336494183 34.039412549078, -118.39300897719589 34.03940690862246, -118.39294130861653 34.039405748613156, -118.39292315664866 34.039407187933186, -118.39285881462196 34.039412205178564, -118.39279449359553 34.03942238991163, -118.39273185027767 34.03943770428851, -118.39265606196224 34.039465427717055, -118.39256222153017 34.03951519819437, -118.39214767004961 34.039098868413426, -118.39206486885772 34.03903901403885, -118.39201848111242 34.03900035814765, -118.39199364519118 34.03898326997725, -118.39190270344713 34.03894715315363, -118.39185969899829 34.03892701633995, -118.39182995058727 34.03891817688308, -118.39174900338904 34.03890195771047, -118.39148141356564 34.03885303211982, -118.39146681417395 34.03890734906576, -118.39129665196805 34.03957665548469, -118.39112129946287 34.04019447388045, -118.39109369920894 34.04029313695871, -118.38847891245928 34.03982586141303, -118.38799989841398 34.03974048571387, -118.38801450345859 34.03968617097742, -118.38819947693476 34.039001354038376, -118.3883909238211 34.03829145608507, -118.38858564048833 34.037573960917875, -118.3886245764115 34.03743025830635, -118.38880468897047 34.03676675215406, -118.38881929069441 34.03671381127279, -118.38889084073318 34.03648413791007, -118.38902198017402 34.035938611467316, -118.38911927901162 34.03556733412175, -118.38930575778484 34.03485640863515, -118.38966601360372 34.0349603508211, -118.3897271509625 34.03497733040185, -118.39234959674971 34.035702162990376, -118.39280567920457 34.03582812619862, -118.39308792629258 34.03513300977649, -118.39335872552365 34.0344633730769, -118.3945402263301 34.03478822150652, -118.39550691683121 34.03505366876208, -118.39589654648076 34.03516071643727, -118.39629513341748 34.035270223494074, -118.39706850138538 34.035482708232585, -118.39806660177422 34.035756954231815, -118.39821173409085 34.03538963172326, -118.39826727852447 34.03527128992064, -118.39824643717049 34.03539982539548, -118.3998725698209 34.03586262610373, -118.39980244370317 34.036038042549514, -118.39976326454898 34.03612849332825, -118.39973393477727 34.03620726186803, -118.39971610944441 34.03627464741506, -118.39971293187024 34.036301779673074, -118.39971464779224 34.03631550975906, -118.39972138307625 34.0363426407531, -118.3997414367573 34.036395800005984, -118.39975146500156 34.036421538044934, -118.39976478400925 34.03644655838497, -118.39978140527865 34.03647054725329, -118.39984615118365 34.03655106519213, -118.39995079642617 34.03669154716993, -118.40053367571153 34.03744527960785, -118.40055194885782 34.03746994986158, -118.40065470321257 34.03755993449798, -118.40070766424436 34.037591359304464, -118.40078043815821 34.03762477742607, -118.40085154419195 34.037653396767986, -118.40090114160544 34.037670763321394, -118.40094904102767 34.03768022002676, -118.4010150671227 34.03768170645277, -118.4010975693409 34.03767835096574, -118.40114704885916 34.03767269173608, -118.4012097072629 34.037659761098006, -118.40128881163047 34.03763751431248, -118.40142722367466 34.037591713369984, -118.40146077260431 34.037579337358466, -118.40152771690886 34.03755463720535, -118.40163766393923 34.03776688203377, -118.4018623795452 34.038165618367955, -118.40194065372216 34.038313385166965, -118.40195900730949 34.03835490100419, -118.40203587118755 34.03855076295869, -118.40196055814779 34.03867707608664, -118.40187427970918 34.03880847425493, -118.40183028295645 34.038912337646885, -118.40181133741781 34.038982780739794, -118.40180294418742 34.03908529503963, -118.40181620752624 34.03920653154687, -118.40182473297273 34.039260773710375, -118.40185670247944 34.039387751133184, -118.40183535940365 34.039413579890144, -118.40180746518215 34.039446310951014, -118.40178287289079 34.03948108561365, -118.40174032742577 34.039555076328234, -118.40167168600348 34.03969715474113, -118.40153432759071 34.03996209821172, -118.40148040668865 34.040077684671566, -118.4014690021622 34.04010590003384, -118.40140783140592 34.040086176806646, -118.4012789677977 34.04005946266166, -118.40121290568086 34.04004972655671, -118.4011650383571 34.040047480311586, -118.40113370847449 34.04005376441486, -118.40107276319561 34.0400776700012, -118.40101012427684 34.04009504866717, -118.40088320176065 34.04012672450994, -118.40073976226239 34.04015709732912, -118.4006902807924 34.040165149065004, -118.40062594580986 34.0401718923555, -118.40057478217945 34.040172411900755, -118.40052525943356 34.04016845166868, -118.40047570178334 34.040160365211655, -118.40044761773261 34.04015359227445, -118.40041456995839 34.04014511566523, -118.40016336775618 34.04007622653046, -118.39978820740687 34.0399665220334, -118.39970887460628 34.0399423972924, -118.39946260444036 34.03986832999766, -118.39934026522774 34.03982545564818, -118.39930886099347 34.039816623506326, -118.39926095455566 34.03980614022351, -118.39922957545384 34.03980211856237, -118.39914869850641 34.03979929549306, -118.39902823985662 34.03980553918797, -118.3988995514536 34.03981214532223, -118.39885168009847 34.03981264604898, -118.39776082443122 34.03982587024248, -118.39771130910049 34.03982567634256, -118.39757928065227 34.03982542058075, -118.39748029361165 34.03983398740274, -118.39739947926343 34.03984593458598, -118.39731868664181 34.03986269042455, -118.3972412300935 34.03988528258117, -118.39718026807272 34.039906780060846, -118.39709131517552 34.039943124970094, -118.3970452060397 34.0399642399658, -118.39698921356056 34.03998984732699, -118.39683278204338 34.040065928111716, -118.39642447105504 34.040274046948085, -118.39639647129543 34.04028683427144, -118.3963651583232 34.04029723889267, -118.39631569814627 34.040307375814905, -118.39618529985637 34.04030437161162, -118.39605322129144 34.040295514612986, -118.39595414096914 34.04028314417047, -118.3959062373826 34.04027437426465, -118.39584344822056 34.04025910349919, -118.39578064408859 34.04023974699944, -118.3955458632333 34.040151897393706, -118.39554731168683 34.04010894358397, -118.39554052071524 34.04006843467936, -118.395508794302 34.039990226884456, -118.39547383811065 34.039927496372066, -118.39541567802219 34.03984352057046)))",9001290A,F
80,"MULTIPOLYGON (((-118.38885462513745 34.03472698687261, -118.38730620908555 34.03428164815648, -118.38720211826931 34.0342517626356, -118.38671960936365 34.03411762566587, -118.38595948725414 34.03390608001788, -118.38572319744188 34.033840197434266, -118.38597167339984 34.03368552337265, -118.38682946202827 34.03317772393247, -118.38790381190822 34.03254170723812, -118.38841999862419 34.032239721757996, -118.38898180763616 34.03191104054049, -118.39014865622728 34.03122923062038, -118.39048109327918 34.03103374657209, -118.39115912416221 34.030633442795455, -118.39117529548136 34.030593219889205, -118.39135206879739 34.030488312573915, -118.39169600019844 34.030286000266734, -118.39192900034355 34.03015300000622, -118.39229999974391 34.029960000185916, -118.39246699957127 34.029882000396654, -118.39279400007813 34.02973500036171, -118.39286700008695 34.02970200021726, -118.39313200051076 34.02959900018757, -118.39353699981363 34.029460000358576, -118.39381200047134 34.02937700010292, -118.39405899978328 34.02930999997478, -118.39408999973847 34.029301999552764, -118.39437099985645 34.02923499958185, -118.39465400038343 34.02917599983366, -118.39505099957637 34.02910900037288, -118.39566299985148 34.029038999863104, -118.39580800002629 34.02902700026408, -118.39609899964405 34.02901100017458, -118.39639100033676 34.029002000107724, -118.39667499947424 34.029002000388395, -118.3968689717345 34.02900627174321, -118.39685640040933 34.02903756291367, -118.39679115578824 34.0291992158204, -118.39670306786367 34.02941521335068, -118.396655762501 34.02953045039937, -118.39637842435913 34.030205608063234, -118.39591012176254 34.03132827881662, -118.39590033592489 34.03135340238094, -118.39545649780916 34.03247550705386, -118.39511593086235 34.03333650277746, -118.3950946579335 34.033390146013105, -118.3945402263301 34.03478822150652, -118.39335872552365 34.0344633730769, -118.39308792629258 34.03513300977649, -118.39280567920457 34.03582812619862, -118.39234959674971 34.035702162990376, -118.3897271509625 34.03497733040185, -118.38966601360372 34.0349603508211, -118.38930575778484 34.03485640863515, -118.3889223711922 34.03474634455447, -118.38885462513745 34.03472698687261)))",9001291A,F
81,"MULTIPOLYGON (((-118.28259112333839 33.92372661012298, -118.2826737050111 33.92309561462139, -118.28269394637928 33.922941168742504, -118.28276175182425 33.92252127961403, -118.28283759855613 33.92204195583273, -118.28285210375932 33.92194588437913, -118.2829343176803 33.92140148362163, -118.28301603188463 33.92080805829473, -118.2830179644638 33.9207940035261, -118.28303302265742 33.920373204071495, -118.28304951964458 33.919889540779266, -118.28284582991766 33.92008752437651, -118.28269965695173 33.920236594097695, -118.28254858460117 33.920399414330035, -118.28239261022273 33.92057426856237, -118.28238111684468 33.9205873477267, -118.28227770691554 33.92071158620816, -118.28217105017599 33.92084991578842, -118.28216642602499 33.92085599656275, -118.28215985451901 33.92048125885654, -118.2821485592094 33.92010224637789, -118.28215580454848 33.91968955291079, -118.28216432700513 33.91920654942455, -118.28216969501256 33.91890146792192, -118.2821751101282 33.91873691745942, -118.28218031998375 33.91829818381734, -118.28217101330797 33.918293889108455, -118.28218873104132 33.91782039685816, -118.28219080439163 33.91770201398678, -118.28219034067062 33.91753412093193, -118.28219744769869 33.91732485101346, -118.28220107087449 33.917119526201326, -118.2822046686566 33.91691469368351, -118.2822082929694 33.91670939592159, -118.28221091866278 33.91655949454508, -118.28221528899101 33.91641678594008, -118.28272631515925 33.91641531461032, -118.28357831153565 33.91641262671894, -118.28455229445147 33.916422340203326, -118.28469072883479 33.91642374702806, -118.28556747256242 33.91642887316084, -118.2857207352098 33.9164298839731, -118.28594651253583 33.91643140958974, -118.28625468196039 33.91643103260996, -118.28643926940771 33.916434358969504, -118.28698310527625 33.916436500507736, -118.28697706711819 33.916596933601724, -118.2869772637854 33.91665436282373, -118.28697753761584 33.91673432451683, -118.2869885043607 33.91705030460746, -118.2869852799416 33.91803299626838, -118.28698405650712 33.91815665473226, -118.28698342245225 33.91845272890791, -118.28697910431909 33.91911703611092, -118.28697250647511 33.9200784636478, -118.2869681398407 33.92072834218727, -118.28696863037263 33.92087221234986, -118.28696790333943 33.92114336872454, -118.2888104520509 33.92114264031694, -118.29006137949177 33.92115543755207, -118.29153470232008 33.921141575275, -118.2915320127539 33.921788700424884, -118.29153098855886 33.92194906402209, -118.29152988655956 33.92212498719666, -118.29152563669874 33.92306686826803, -118.29152337041572 33.92356899421421, -118.29151560567159 33.92369488455919, -118.29051186905598 33.923696105364364, -118.29016412319048 33.923697628765304, -118.2891286655162 33.923702540313684, -118.28808423494218 33.92370742293828, -118.28753376942134 33.92370978353386, -118.28696188183334 33.923712519853765, -118.28645921542706 33.9237147347307, -118.28523467984562 33.923720385537486, -118.28477787015322 33.923721465295586, -118.28310532791338 33.9237254039042, -118.28259112333839 33.92372661012298)))",9001434A,F
82,"MULTIPOLYGON (((-118.38143325252163 34.0629547576692, -118.38130435074532 34.062954970866606, -118.38037658272646 34.062959463244944, -118.3803006425457 34.06295983762011, -118.37932332921555 34.06295982689141, -118.37831135204401 34.06296003764382, -118.37823389087363 34.0629601477281, -118.37772034392151 34.06296120226948, -118.3775039662745 34.062965341577225, -118.3774214512912 34.062964145287836, -118.37735549607933 34.062960116872475, -118.37732411824582 34.06295830275235, -118.37729953282273 34.061876994904296, -118.37728639962431 34.06129932032858, -118.37828610415622 34.06129619319994, -118.37828251310614 34.06096365559881, -118.37928124942066 34.06096121382795, -118.37927304183732 34.060607113431715, -118.37930384238616 34.05938902173743, -118.37983868625528 34.059387345282005, -118.38032237480158 34.05938752425018, -118.38139209105782 34.05938758208236, -118.38242053876958 34.05938743657117, -118.38303958229105 34.05938753659364, -118.38360430372562 34.05938745620321, -118.3835683624243 34.06094252924149, -118.3835394985881 34.0622076645201, -118.38352339733633 34.062937284040366, -118.38352295937594 34.062951861437, -118.38295853018889 34.0629576210113, -118.38247976363874 34.06295432935986, -118.38234438527199 34.062953384970704, -118.38143325252163 34.0629547576692)))",9001444A,F
83,"MULTIPOLYGON (((-118.37728639962431 34.06129932032858, -118.37727882109006 34.060966106394595, -118.37724205600449 34.05940336348346, -118.37710340550709 34.05940621801505, -118.37680635689291 34.05942808059479, -118.37615448486109 34.05947064654607, -118.37615022534875 34.05705494405747, -118.37620475175127 34.05706645538678, -118.37633362068581 34.05709009688067, -118.37644759482454 34.05710622530642, -118.37661274458901 34.05712288552125, -118.37684067606415 34.05715135805424, -118.37690673238674 34.05715769434623, -118.37698928869261 34.05716188212922, -118.37730625404569 34.05716570736383, -118.37743501844041 34.05716703324565, -118.3782933298525 34.05715025403767, -118.37934482471249 34.057143187339406, -118.38041118340615 34.05713604393089, -118.38132732109887 34.057129721632656, -118.38144946834585 34.05712864982, -118.38185554163152 34.05712461685946, -118.38248115765693 34.05712195013238, -118.38263137314982 34.057121143430834, -118.38310015324859 34.05711311483951, -118.38365476149751 34.05710346851395, -118.38361804476273 34.05881689202506, -118.38360430372562 34.05938745620321, -118.38303958229105 34.05938753659364, -118.38242053876958 34.05938743657117, -118.38139209105782 34.05938758208236, -118.38032237480158 34.05938752425018, -118.37983868625528 34.059387345282005, -118.37930384238616 34.05938902173743, -118.37927304183732 34.060607113431715, -118.37928124942066 34.06096121382795, -118.37828251310614 34.06096365559881, -118.37828610415622 34.06129619319994, -118.37728639962431 34.06129932032858)))",9001449A,F
84,"MULTIPOLYGON (((-118.42455473541207 34.041997151905136, -118.42472098185591 34.041908636951966, -118.42485741161858 34.04212386091629, -118.42492226772909 34.04221981474459, -118.42499872820353 34.04232602322302, -118.42521641840328 34.04261790945354, -118.42543403277544 34.04289330469193, -118.42556851798743 34.04304981775776, -118.42585564712483 34.04336343482379, -118.42656957771997 34.0441924816654, -118.4281419563849 34.04602044346444, -118.42727475988946 34.046536682440475, -118.42637299370597 34.04707262759128, -118.42550083730396 34.04759195454074, -118.42522602499183 34.04775539904738, -118.42512726527612 34.0478100173927, -118.42458738468814 34.04810627261019, -118.4236673411299 34.04861178985456, -118.42366562599985 34.04861273166547, -118.42320144652632 34.048867849360256, -118.4226401535752 34.04917620547117, -118.42241465209354 34.04930097631304, -118.42193073679239 34.0495702563463, -118.42150113013223 34.04980876030427, -118.42092008563905 34.050130917626895, -118.42054646390945 34.0503441396079, -118.41955527221023 34.04919347658796, -118.41896094592923 34.048512356282956, -118.41836164795927 34.04782436200673, -118.41773414361757 34.04710488283213, -118.41705352056263 34.0463234041797, -118.41721974582137 34.046227335789, -118.41802124050834 34.04576393905241, -118.41889679572382 34.04525873104155, -118.41902516529291 34.045185134212055, -118.4210691721247 34.04400569230642, -118.42155959836873 34.04372268513007, -118.42195126704675 34.043495635881726, -118.42286791026278 34.04296518549974, -118.42369566479371 34.042485172621724, -118.42375326403327 34.042451994153204, -118.42427988872736 34.042150983128714, -118.42455473541207 34.041997151905136)))",9001454A,F
85,"MULTIPOLYGON (((-118.42000545797694 34.037269529723545, -118.41957400640842 34.03712987115739, -118.4193921476321 34.037065242717354, -118.41933592113232 34.03704240831364, -118.41913912251464 34.03696170022572, -118.4189786826482 34.03689045707859, -118.41884964256971 34.03682907486415, -118.4187090054019 34.03675743360226, -118.4186279159443 34.03671168694897, -118.41849547594535 34.03662970707144, -118.41845572784719 34.036603053039734, -118.4183033804586 34.03649883167666, -118.41805163413258 34.036320734616154, -118.41794064754602 34.036237668330294, -118.41785779534925 34.03617096118425, -118.41775668032135 34.03608063116301, -118.41769199815793 34.0360180080919, -118.41766048570796 34.035986515624074, -118.41759910432697 34.03592215104146, -118.41733026500651 34.035624940503126, -118.41721407339071 34.03549102247927, -118.41710446743811 34.035353678302954, -118.41705959437509 34.0352899442898, -118.41704629458333 34.03527108595928, -118.41700803662263 34.03521076121832, -118.41692979189529 34.0350743245947, -118.41683979247199 34.03489740003558, -118.41671317863911 34.03465775403951, -118.41667597605685 34.03458440740081, -118.41658484200764 34.03440470444125, -118.41653488394024 34.03431384709859, -118.4165165617404 34.03427991435692, -118.41642169474021 34.03411981990393, -118.41625203471007 34.0338524843335, -118.41611906945054 34.03366196620012, -118.41596755777971 34.03345145990279, -118.41594969604844 34.03342664360757, -118.41595668140042 34.03341897903995, -118.41612653296733 34.03323261009895, -118.41608697561762 34.033181555524195, -118.41596913374025 34.0330476456318, -118.41588455405277 34.03296379412994, -118.41583980161016 34.03292410678361, -118.41574535446958 34.032848173087174, -118.41564598077315 34.032775344032665, -118.41549033632526 34.03267145598201, -118.41534466409166 34.03258128182058, -118.41516758474454 34.03247989041977, -118.41504183127414 34.03241332618984, -118.41450252320044 34.032146576834684, -118.41404868692585 34.03181014182307, -118.41391151563742 34.03176939584653, -118.41343716496881 34.03162230593386, -118.41319090387687 34.031545851474704, -118.41314958749855 34.031534308990075, -118.41293971779879 34.031475620421205, -118.41278599746451 34.031425642170504, -118.4126487902907 34.031378023395845, -118.41225697820315 34.03123476853729, -118.41121053088567 34.030859816607865, -118.41100389079337 34.03078563525263, -118.41101200699362 34.03075881854549, -118.4110673512978 34.030603376984814, -118.41134343584253 34.03070375190813, -118.41243620789058 34.03110294264367, -118.41283949890315 34.03123173132143, -118.41313367462705 34.031319017647085, -118.41325926153654 34.03135293356652, -118.41347904141168 34.03141296428137, -118.41352861238047 34.03142584961277, -118.41371532636153 34.03147433902334, -118.41395325302346 34.03153260459549, -118.41417791489874 34.031578548865696, -118.41448511575763 34.03163003419054, -118.41482694558728 34.031675928346665, -118.41505644046407 34.03169882920125, -118.415271047406 34.03171320273413, -118.41546911595987 34.03172076761876, -118.41565065694972 34.03172393189635, -118.41609623199074 34.03172547399138, -118.41662430889444 34.03172400803752, -118.41667599350104 34.03172369534214, -118.41701540721472 34.031721616511284, -118.41700254183205 34.031705070919, -118.41702486531922 34.0317043474121, -118.4186910003398 34.031695999714756, -118.41900049045567 34.03169343938655, -118.41897254451773 34.03170901481012, -118.41927783013647 34.03170691281821, -118.41984219812916 34.031703244941994, -118.42093002149967 34.03169750891695, -118.42106761009485 34.03169678301523, -118.42109704957214 34.031696624441814, -118.42157326486078 34.03169410785834, -118.42180430747372 34.03169434755433, -118.42199573166185 34.031694696445506, -118.42370535785318 34.03168769078217, -118.42402054724501 34.03168521027468, -118.42428127611777 34.03168292124723, -118.42431926403182 34.03168350175653, -118.42496122970891 34.0316935785986, -118.4253078072035 34.031696809958355, -118.42544476789132 34.031696327399054, -118.42567084912316 34.031695530497686, -118.42657843943516 34.03168545833025, -118.42685899020694 34.03168688374818, -118.42750263665484 34.03169628571987, -118.42788873792885 34.03168425548735, -118.42801994554299 34.031849350892166, -118.4282890333076 34.03218982305461, -118.42876408188108 34.03278923326216, -118.42875091810339 34.03279651572705, -118.42788038116365 34.033278058374236, -118.42700310616273 34.03373387974147, -118.42614721636062 34.034178295958206, -118.42532259314451 34.03460608163575, -118.42490287002975 34.03482395482267, -118.4244475002205 34.035060556834274, -118.42504823658845 34.0358260883886, -118.4251179978852 34.03591479448809, -118.4255548341932 34.036465577150544, -118.42569436218757 34.036642323386715, -118.42302608037359 34.037035031425035, -118.42209428377986 34.03716400970505, -118.4218980068677 34.037187367505496, -118.42171818680741 34.03720104452772, -118.42153668545822 34.037209237708275, -118.4213221530582 34.037212048326026, -118.42124623040962 34.03721060663196, -118.4213907561913 34.03739797758946, -118.42110697679655 34.03741443800418, -118.42100796630056 34.03741753116373, -118.42090894372828 34.03741650246851, -118.42069596755496 34.03740177440576, -118.42049946343072 34.03737945628083, -118.42041688361253 34.03736738111226, -118.42028804852727 34.037344799953296, -118.42020874146702 34.03732757450384, -118.42013268846347 34.037301048268496, -118.42000545797694 34.037269529723545)))",9001455A,F
86,"MULTIPOLYGON (((-118.39098052425656 34.0524535645708, -118.39071970891092 34.05245131735574, -118.39028725838489 34.052454771265424, -118.38971285287933 34.05245971678025, -118.38947184881549 34.052459124864676, -118.38915161554316 34.052458098136526, -118.38846496108206 34.052462366227225, -118.3883263096271 34.052463166466076, -118.38778157923743 34.05245975292034, -118.387566994369 34.05246079609727, -118.38745641155818 34.052463211855, -118.38702232700285 34.0524721640812, -118.38665919537425 34.05247401429177, -118.38647759342219 34.05246805499018, -118.38642805487991 34.052464445109116, -118.38645238606146 34.05165785501874, -118.3864815888873 34.050833060014966, -118.38651242663123 34.050002414257094, -118.38653887064598 34.04929714807205, -118.38655296028531 34.04913258387375, -118.38656568395493 34.049028462871846, -118.387474311271 34.04919866957518, -118.38797486521503 34.04929254294064, -118.38849528540965 34.049395634319225, -118.38855641396702 34.04940779947447, -118.38870793570018 34.0494377340904, -118.38947168835892 34.04958862592041, -118.38952112134648 34.04959851407143, -118.3895811015148 34.049557043850754, -118.39084530422241 34.04874635449757, -118.39096058394873 34.04866172937032, -118.39098440504056 34.04869238553535, -118.39101731554794 34.04867166990727, -118.39122786695208 34.04851470613267, -118.39128541525584 34.04846677984462, -118.39132979438935 34.04842644655346, -118.39140860897403 34.04833859717748, -118.39148402639066 34.04823188154496, -118.39152826703878 34.048162000855754, -118.3915364399316 34.04814583780073, -118.39155606646779 34.04810730480843, -118.39157239620259 34.04806808291332, -118.39159030630114 34.048014789257586, -118.39160001444347 34.04797491809028, -118.39160477910545 34.04793402889464, -118.39160452025656 34.04787872333395, -118.39159746638455 34.04778223159665, -118.39158203986182 34.04765897342347, -118.39154140416744 34.047440302917465, -118.39175096657283 34.047428281937286, -118.39186650163576 34.04742997698301, -118.39193089595722 34.04743456415537, -118.39199695319866 34.047442250777955, -118.39209441782707 34.04745945565497, -118.39223817200086 34.04749264755922, -118.39237865214281 34.04752997444913, -118.39268939546808 34.04762170420957, -118.39306620338796 34.047725929772895, -118.39320832084252 34.04776119577502, -118.39335369470332 34.04778853553457, -118.39348581715538 34.047802200560064, -118.3937499509003 34.04781301624103, -118.39388035488787 34.04781499624763, -118.39414444940064 34.0478137847306, -118.39508993905055 34.04775471056787, -118.3951697328211 34.048574339679824, -118.39523739124812 34.0492690044846, -118.39525291642498 34.04941148440615, -118.39605655502498 34.0493676322682, -118.39635026440645 34.04934743797916, -118.39648391608296 34.04933806412476, -118.39681231711555 34.04932291698636, -118.39717540920903 34.04931449569951, -118.39740649282069 34.04931478211054, -118.39778617820393 34.04932452167874, -118.39856871011177 34.04935593463599, -118.39877672560566 34.04936417938, -118.3994684960472 34.04940035961143, -118.40001164504737 34.04942090434879, -118.40027084501872 34.04943309606831, -118.40043412824323 34.049441854951546, -118.40043400022364 34.04951399975536, -118.40047399961097 34.04991100017721, -118.40056600001985 34.05045499998565, -118.4006119996803 34.05096600023384, -118.4006439997527 34.05115400011594, -118.4001814874122 34.05155690852947, -118.40018911936139 34.051562210404484, -118.40016921896664 34.05155822395447, -118.4001227221169 34.05159411214283, -118.40013931083631 34.05161087079279, -118.40016589431741 34.051646863011825, -118.40018258773576 34.051685280672196, -118.40019103299682 34.051726111124495, -118.40019679471074 34.05174414796076, -118.40034185539321 34.052198914963185, -118.40032371673783 34.0522034647359, -118.40006813677779 34.05225926745208, -118.39987518804382 34.05229803961998, -118.39973005194516 34.05232255863534, -118.39956507162671 34.05233925561266, -118.39893796972267 34.05237326755604, -118.39858155418533 34.0523974615367, -118.39818221017582 34.05242453668392, -118.39788686374168 34.0524488635078, -118.39768881627073 34.05245432646601, -118.39753201062757 34.052455527921644, -118.39729266856556 34.052457349633215, -118.39643762355377 34.05245638490582, -118.39591067510737 34.05245593192673, -118.395880011101 34.05245590533747, -118.39585659095592 34.05245588564732, -118.3953564366198 34.05245615379597, -118.39425215432283 34.0524570089453, -118.39317261746703 34.052457787857676, -118.39207328327156 34.052458268897155, -118.391635851253 34.052458656055265, -118.39098052425656 34.0524535645708)))",9001465C,F
