,the_geom,meterArea,timeLimit,peakHour,meterHours,passLoad,noParking
18,"MULTIPOLYGON (((-118.25031403235464 34.045734167023745, -118.25042954532069 34.045610526249206, -118.25096287613552 34.0459557850262, -118.250699003632 34.04598338042059, -118.25031403235464 34.045734167023745)))",101 W. 6TH ST,120,"TANS 7A-9A, 3P-7P xSS","9A-3P MON-FRI, 8A-8P SAT",,
19,"MULTIPOLYGON (((-118.25135975504008 34.04391864358906, -118.25185640452406 34.044239614877704, -118.2517410179262 34.044363333693845, -118.25138410560369 34.04413267105113, -118.25135975504008 34.04391864358906)))",101 W. 7TH ST,120,,8A-8P X-SUN,,
20,"MULTIPOLYGON (((-118.25034672845382 34.04487667095615, -118.25135975504008 34.04391864358906, -118.25138410560369 34.04413267105113, -118.25019669196959 34.0452556161674, -118.24992514949301 34.04527535587153, -118.25034672845382 34.04487667095615)))",601 S. MAIN ST,120,TANS 4P-6P xSS,"8A-4P, 6P-8P MON-FRI, 8A-8P SAT",,2A-5A NIGHTLY
21,"MULTIPOLYGON (((-118.2513576344399 34.043713797192154, -118.25290909118657 34.04271295512692, -118.2531836989669 34.0427339586466, -118.25138658171754 34.0438932743816, -118.25135975504008 34.04391864358906, -118.2513576344399 34.043713797192154)))",700 S. MAIN ST,120,,8A-8P X-SUN,,2A-5A NIGHTLY
22,"MULTIPOLYGON (((-118.25138658171754 34.0438932743816, -118.2531836989669 34.0427339586466, -118.25317238446421 34.04293941298092, -118.25166050771445 34.04391472245218, -118.25135975504008 34.04391864358906, -118.25138658171754 34.0438932743816)))",701 S. MAIN ST,120,TANS 4P-6P xSS,"8A-4P, 6P-8P MON-FRI, 8A-8P SAT",,2A-5A NIGHTLY
23,"MULTIPOLYGON (((-118.25226392865251 34.0443046992809, -118.25338364918454 34.04310354514731, -118.25363760160883 34.04308660170476, -118.25310865621917 34.04365402524956, -118.25229719849351 34.04452448944867, -118.25226392865251 34.0443046992809)))",700 S. SPRING ST,120,"TANS 7A-9A, 4P-6P xSS","9A-4P, 6P-8P MON-FRI, 8A-8P SAT",,
24,"MULTIPOLYGON (((-118.25310865621917 34.04365402524956, -118.25363760160883 34.04308660170476, -118.25367090090614 34.043306366694324, -118.2532573018276 34.043750048332896, -118.25310865621917 34.04365402524956)))",701 S. SPRING ST,240,,8A-8P X-SUN,,2A-5A NIGHTLY
25,"MULTIPOLYGON (((-118.25419905678969 34.04248429466839, -118.25400523122136 34.04269222155069, -118.25363760160883 34.04308660170476, -118.25361530833042 34.04285503897807, -118.25385658334125 34.04259620214804, -118.25404032132974 34.042399098598516, -118.25419905678969 34.04248429466839)))",800 S. SPRING ST,120,"TANS 7A-9A, 4P-6P xSS","9A-4P, 6P-8P MON-FRI, 8A-8P SAT",,
26,"MULTIPOLYGON (((-118.2532072458239 34.04252061151662, -118.25389043552002 34.04207987253142, -118.2540056891278 34.042203674390095, -118.2531836989669 34.0427339586466, -118.2532072458239 34.04252061151662)))",800 S. MAIN ST,120,,8A-8P X-SUN,,2A-5A NIGHTLY
27,"MULTIPOLYGON (((-118.25408617342187 34.04234990596387, -118.25347370530174 34.042745025902036, -118.2531836989669 34.0427339586466, -118.2540056891278 34.042203674390095, -118.25484473059517 34.04166237355862, -118.25500036693498 34.041589751316046, -118.25408617342187 34.04234990596387)))",801 S. MAIN ST,120,,8A-8P X-SUN,,2A-5A NIGHTLY
28,"MULTIPOLYGON (((-118.24771682696644 34.04730862990468, -118.24826906191721 34.04671793240434, -118.24853150991098 34.04669092780537, -118.24853286293656 34.04669078762715, -118.24800793927375 34.04725227261767, -118.24770801358603 34.047573086337216, -118.24771682696644 34.04730862990468)))",400 S. MAIN ST,120,,8A-8P X-SUN,,3A-5A NIGHTLY
29,"MULTIPOLYGON (((-118.25133221413795 34.04530413754544, -118.25203322228481 34.04455217866333, -118.25229719849351 34.04452448944867, -118.25147077222513 34.045410988451565, -118.25133221413795 34.04530413754544)))",600 S. SPRING ST,120,"TANS 7A-9A, 4P-6P xSS","9A-4P, 6P-8P MON-FRI, 8A-8P SAT",,
30,"MULTIPOLYGON (((-118.24746937312459 34.04970385785849, -118.24760798623713 34.049810663650625, -118.24754482360282 34.049878470401204, -118.24720836909671 34.05023964977114, -118.24694467295731 34.05026711566979, -118.24739612099837 34.04978249257393, -118.24746937312459 34.04970385785849)))",301 S. SPRING ST,30,,8A-8P X-SUN,,2A-5A NIGHTLY
31,"MULTIPOLYGON (((-118.24770801358603 34.047573086337216, -118.24739802901027 34.047904603632794, -118.24719425394557 34.048122531210616, -118.24717838863405 34.04788449662213, -118.24724954398802 34.0478083998709, -118.24747461886642 34.047567689941424, -118.24770801358603 34.047573086337216)))",400 S. MAIN ST,120,,8A-8P X-SUN,,3A-5A NIGHTLY
32,"MULTIPOLYGON (((-118.24666564321146 34.04868909322946, -118.24607742224362 34.049319533213904, -118.24585268809695 34.049560083219866, -118.24590545947855 34.04924845542573, -118.24592884737217 34.04922342142992, -118.2465069365331 34.04860384319681, -118.24666564321146 34.04868909322946)))",300 S. MAIN ST,240,,8A-8P X-SUN,,
33,"MULTIPOLYGON (((-118.25502636262964 34.04185227168383, -118.25465551713437 34.04225010480885, -118.2545068692851 34.04215408346105, -118.25490692814236 34.04172491289322, -118.25500036693498 34.041589751316046, -118.25502636262964 34.04185227168383)))",801 S. SPRING ST,120,,8A-8P X-SUN,,2A-5A NIGHTLY
